1,“女の子がいっぱいいるところ”とか
2,……どうしてもダメ？
3,……完璧に終わらせてあります
4,「おかしなふたり」
5,あ、いや。シェリー、大変だなって思った
6,あ、ごめん……
7,あ、来た。
8,あのヤスタカさんがタジタジだ……。
9,あの～
10,あはは……
11,ありがとうございます
12,あれだけの量の書類仕事を、ほんの数時間で……。
13,あー、ははは、あれはツカサをからかうためのちょっとしたジョークさ、ジョーク
14,い、いやあ、なにも……
15,え、いやあ……俺に言われても……
16,ええ。おかげで仕事中、ヤスタカが変なことをしないよう、私が常に目を光らせておかなければならないのです
17,ええっ！？
18,ええと、シェ、シェリー、落ち着いて……
19,ええ～。それ、社会人として許されるのかな……
20,え？　俺が？
21,おいおいシェリー。今日はユリアちゃんだけじゃなく、夜も別の予定が入ってるんだ
22,おお、我が愛しのパートナー。元気してた？
23,おかげさまで。あなたの顔を見なくてよかったので、とても心は穏やかでした。プライベートにおいては、ですが
24,おぞましいことを言わないでください。そのようなことは一度もありません
25,お久しぶりです
26,お見苦しいところを見せてしまいました
27,お願いします
28,かわいい女の子がいっぱいいるところさ
29,きっとヤスタカのポリシーのようなものなのでしょう
30,このローレンスって、いつ会いにいくの？
31,じゃ、俺はこの後予定があるから、これで
32,そ、そりゃ……勘弁してよ
33,そ、それ、大問題だね……
34,そうですか。では失礼して
35,そうですか。とても面白いです
36,そうなのです
37,そうなの？
38,そうなると、大惨事になるかもしれませんね
39,そこだけは、認めざるを得ないところです
40,そこまで節操もないとなると、一緒に暮らしてるシェリーなんて、しょっちゅう口説かれてそうだけど
41,その考え方は、目からウロコだった。
42,そもそも、なにも言わずに勝手に消えるというその行動理由が、理解できません
43,そもそもヤスタカは、ギフティアの女性に限っては、一切アプローチはしないのです
44,それだけなら、女性にだらしない人というだけで済むのですが
45,それでも真面目に仕事をこなしているシェリーは、本当にすごい。
46,それとも、明日の朝までぶっ通しで、あなたが改善すべき点についてひとつひとつ挙げていきましょうか？
47,そろそろシェリーの堪忍袋の緒も切れるかもな
48,ただ、あなたがずいぶんと他人事なのが気になります
49,だからこそ、もう少しだけ生活態度を改めてくれれば、尊敬される人間になると思うのですが……
50,だって、いつもヤスタカさん、挨拶のときシェリーに言ってるよ。“愛しのパートナー”って
51,ちょうどよかった。ツカサ、同席してください
52,って、そんな映画やマンガみたいなことはさすがにないか……。
53,っていうか、淡々とヤスタカさんに反論していくシェリーの様子が、ちょっと怖かった……。
54,でもシェリーは最初から冷静だった。
55,と、とりあえず、様子を見てくる！
56,と、ヤスタカさんが、会議室のドアを開けて顔を出した。
57,というわけだ、ツカサ。悪いが、君もシェリーのサポートに回ってくれよナ
58,というわけで、ヤスタカ。今話した通り、アイラの回収担当は私たちになりました
59,となるときっと、シェリーの頭の中には、ヤスタカさんがこれまでデートしてきた女性の名前が全部入ってるんだろうな……。
60,ど、どこからの情報だろう……？
61,ど、どこへですか……？
62,どなたとですか？　秘書課のユミコさんですか？
63,どなたとデートしようと勝手ですが、あなたが会社に来ない間に、例によって大量の書類が溜まっている状態です
64,なあ
65,なぜか分かりませんが、許されているのがヤスタカの恐ろしいところです
66,ななな……なに言ってるんです！　仕事中ですよ！？
67,なんて、ちょっと不安に思っていたら。
68,はあ。これでは、どちらがスポッターなのか分かりませんよ……
69,はい！　できる限り、協力します
70,ふう……
71,ふたりは、会議室にいた。
72,へえ……
73,ほとんどは、女性と遊びに行っているのです
74,また小言かい？　でもさ、ほら、俺って、分刻みでスケジュールに追われる男だゼ？　シェリーの長い小言は、予定に組み込んでないんだ
75,やられたって？
76,やられました……！
77,よお、ツカサ。暇そうだな。なんなら、今夜、一緒に行くか？
78,んん～、いい返事だ
79,んー。ま、考えとく
80,ん？
81,ん？　おお？
82,アイラ
83,アイラ_01f3735a2464c340272d95c663ba68b8
84,アイラ_4f2bf362c0d1f2eecd98837750dc3a8b
85,アイラ_6a971bf9289d6c560ad4d53c549612cb
86,アイラ_bbc17cfa67578eb4ff7e21bad92c7120
87,アイラにはツカサもいるし、カヅキもいる
88,アイラは俺たちにとって、かけがえのない仲間だからネ。シェリーなら、うまくやれるサ
89,エモーション画像
90,オフィスの外から、シェリーの声が響いた。
91,カヅキ
92,カヅキ_bb5bd5caf919adc2483a78d100b4f286
93,ギフティアは“忘れる”ということができない。つまり記憶力は抜群っていうこと。
94,コンスタンス
95,コンスタンス_bb5bd5caf919adc2483a78d100b4f286
96,ザック
97,シェリー
98,シェリー_17a67dc86b5eb0bd04a4b6348a70d4d3
99,シェリー_bb5bd5caf919adc2483a78d100b4f286
100,シェリー_c03b59ac1b0be2f5c790f7a9f68e5eab
101,シェリー_cc1cc993565304f80979be58558b8922
102,シェリー_fa21623b44712aadc18066273065d847
103,シェリー_fb48dad023d82531606baaab4520aa9c
