1,――特別なことはせずに、いつも通りに暮らしていきたい。
2,「仲間からの気持ち」
3,『ピュグマリオーン』っていうタイトルの映画だ。\n身分の違う男女が恋をする話で、有名な役者が多く出演している。\n古い映画のリバイバルらしく、最近話題になっていた。
4,あ、ありがとう……これ、もらっていいの？
5,あ、そういうの、ちょっとズルいなあ
6,ああ、あの演歌歌手が好きだったなんてね。けっこう渋い趣味してるよ。誰の影響なんだろう
7,あの、でもどうしてみんな、急にこんな一斉に……
8,あの、俺、免許持ってないんですけど
9,ありがとう。でも、なんで急に？　ザックがプレゼントをくれるなんて、珍しいね
10,いつも仕事で出かけるときも、アイラに運転してもらっているし。\nさすがにプライベートのデートで、カノジョに運転してもらうなんて、カッコがつかないよ……。
11,いつも通りもいいけど。たまには、デートに行くのもいい。
12,う、うん。ありがとう……
13,ううん。まだ
14,うん
15,え、いやいや……さすがにこんな高いホテルに行くお金は……
16,え、ええと、せっかくだし、今度休みを取って、出かけてみる？
17,え、そうだっけ？
18,ええと、ありがとうございます
19,おお、ツカサくん
20,おはようございます
21,こんなキレイで天候もあたたかいリゾートホテルにふたりで泊まるのは、夢みたいなことだけど。
22,ごめんね、ツカサくん
23,さすがにそれだけの数のホテルには行けない。
24,さすがに大げさすぎるかなあ。
25,しない。シェリーがプライベートの話題を出すことなんて、ほとんどないの
26,すごい、キレイな洋服だね。こんなの着たことない
27,ずしりとした重さに、たまらず前のめりに倒れそうになる。
28,そ、そっか。ありがとう
29,そういうこと。せっかくあんたたちのために用意したんだから。無駄にしないでよね
30,そうそう。たまたまみんな同じ時期に、同じことを思いついただけで
31,そうだよね
32,そうは言っても、やっぱり男の俺がお金を出したいっていうか……
33,そう言って、キーと、簡単な地図を書いたメモを渡された。
34,そう言ってくれるだけでも、課長の厚意が身にしみる。
35,そう言ってザックが俺に手渡したのは、映画の招待券だった。
36,そのアイラの思いとは逆の、特別なイベント盛りだくさんな状況になっちゃってるわけで。
37,そのプレゼントは今、俺が背負っているリュックサックの中に――一部をのぞいて――詰め込まれている。
38,その冊子を俺に渡してきた。
39,その店はドレスコードがあるので、ツカサとアイラの正装も、こちらに用意しておきました
40,その言葉を遮るように、ミチルが慌ててザックの口を背後から塞いだ。
41,その頃は俺、毎日が必死すぎて、誰となにを話したのかいまいちはっきり覚えてないんだよね。
42,そもそもレンさんがくれたのはあくまでパンフレットで、無料宿泊券でもなければ、割引券ですらない。
43,それがイヤっていうわけじゃない。
44,それでも、俺たちのことを考えてこうして色々なものを用意してくれたみんなの気持ちを無下にするわけにもいかなかった。
